datetime	T	RH	WIND	SW	P	SWE	LW	EL
2008-10-3 21:0	2.5815	 0.935	 0.909	-1.264	0.16667	     0	 317.5	     0
2008-10-3 22:0	 2.027	 0.953	 0.961	-2.032	0.16667	     0	 272.5	     0
2008-10-3 23:0	1.8935	 0.955	 0.892	-1.106	0.16667	     0	 303.3	     0
2008-10-4 0:0	2.4135	 0.933	 1.364	-0.622	 0.375	     0	 311.6	     0
2008-10-4 1:0	2.3125	 0.903	 1.341	-0.895	 0.375	     0	 294.5	     0
2008-10-4 2:0	 2.699	 0.889	  1.46	-0.427	 0.375	     0	 308.8	     0
2008-10-4 3:0	2.7655	 0.866	  1.28	-0.307	 0.375	     0	 309.9	     0
2008-10-4 4:0	 2.762	  0.84	 1.165	-0.886	 0.375	     0	 301.3	     0
2008-10-4 5:0	 2.445	 0.803	 1.248	-2.075	 0.375	     0	 270.5	     0
2008-10-4 6:0	 2.145	 0.828	  1.46	-1.817	 0.375	     0	 263.2	     0
2008-10-4 7:0	 2.229	 0.803	 1.543	  10.2	 0.375	     0	   293	8.8278
2008-10-4 8:0	2.4305	  0.79	 1.177	 53.15	 0.375	     0	 287.3	20.037
2008-10-4 9:0	3.1845	 0.733	  1.05	 147.1	 0.375	     0	 284.1	 30.32
2008-10-4 10:0	3.2645	 0.724	  1.25	 128.3	 0.375	     0	 304.1	38.975
2008-10-4 11:0	2.6245	 0.829	 1.562	  85.6	 0.375	     0	 311.7	44.961
2008-10-4 12:0	 1.436	  0.89	 1.598	 179.2	 0.375	     0	   317	47.093
2008-10-4 13:0	2.2785	 0.879	 1.887	 194.4	 0.375	     0	 318.4	44.805
2008-10-4 14:0	 1.607	 0.936	 1.883	   151	 0.375	     0	 317.3	38.699
2008-10-4 15:0	0.7525	 0.968	 1.304	  93.2	 0.375	     0	 316.2	29.965
2008-10-4 16:0	 0.339	 0.983	 1.541	  88.8	 0.375	     0	 315.8	19.632
2008-10-4 17:0	-0.1645	 0.996	 1.532	 64.09	 0.375	     0	 315.9	8.3893
2008-10-4 18:0	 -0.45	 0.994	     0	 12.64	 0.375	     0	 315.3	     0
2008-10-4 19:0	-0.584	 0.985	     0	-0.139	 0.375	     0	 313.7	     0
2008-10-4 20:0	-0.7355	 0.985	     0	-0.248	 0.375	     0	 312.9	     0
2008-10-4 21:0	-0.601	 0.979	     0	-0.109	 0.375	     0	 312.8	     0
2008-10-4 22:0	-0.516	 0.979	     0	-0.101	 0.375	     0	 313.2	     0
2008-10-4 23:0	-0.532	 0.978	     0	-0.093	 0.375	     0	 313.2	     0
2008-10-5 0:0	-0.5995	  0.97	     0	-0.537	 0.375	     0	   313	     0
2008-10-5 1:0	-0.916	 0.972	     0	-1.434	 0.375	     0	 311.1	     0
2008-10-5 2:0	-1.0475	 0.951	     0	-0.853	 0.375	     0	 310.3	     0
2008-10-5 3:0	-0.997	 0.953	     0	-0.115	 0.375	     0	 310.4	     0
2008-10-5 4:0	-1.3165	 0.952	     0	-1.415	 0.375	     0	 309.6	     0
2008-10-5 5:0	-1.837	 0.968	     0	-1.392	 0.375	     0	 306.2	     0
2008-10-5 6:0	-1.781	 0.958	     0	-1.369	 0.375	     0	 306.8	     0
2008-10-5 7:0	-1.832	 0.942	     0	 17.06	 0.375	     0	 305.9	8.6396
2008-10-5 8:0	-0.522	 0.893	     0	   114	 0.375	     0	 311.9	19.826
2008-10-5 9:0	 1.622	 0.746	 0.419	 382.6	 0.375	     0	   316	30.073
2008-10-5 10:0	2.7225	 0.763	  0.73	   335	 0.375	     0	 315.9	38.681
2008-10-5 11:0	2.9005	0.6875	   0.7	 520.7	 0.375	     0	 311.4	44.614
2008-10-5 12:0	1.7055	 0.837	 1.628	 306.9	 0.375	     0	 308.3	46.709
2008-10-5 13:0	1.5735	 0.917	 1.346	   457	 0.375	     0	 304.2	44.417
2008-10-5 14:0	1.9745	 0.714	 1.217	   717	 0.375	     0	 282.4	38.332
2008-10-5 15:0	 3.984	 0.701	 0.944	   433	 0.375	     0	 262.8	29.625
2008-10-5 16:0	2.2355	 0.973	 1.509	   183	 0.375	     0	 297.5	19.316
2008-10-5 17:0	-0.316	 0.992	 0.995	 109.7	 0.375	     0	 314.8	8.0891
