datetime	T	RH	WIND	SW	P	SWE	LW	EL
2008-11-4 13:0	-0.4825	 0.819	 1.168	 314.1	   0.5	50.778	 300.9	34.036
2008-11-4 14:0	-0.131	 0.828	  1.45	 321.5	   0.5	50.781	 295.6	28.642
2008-11-4 15:0	0.0705	   0.7	 1.172	 278.6	   0.5	50.785	 283.8	20.783
2008-11-4 16:0	-0.6515	 0.799	 0.939	 155.9	   0.5	50.789	 286.9	11.226
2008-11-4 17:0	-2.362	 0.925	 0.832	 27.63	   0.5	50.792	   298	0.56066
2008-11-4 18:0	-2.812	 0.903	 1.254	 0.691	   0.5	50.796	 301.6	     0
2008-11-4 19:0	-3.4115	  0.97	 1.207	-0.037	   0.5	50.799	 300.5	     0
2008-11-4 20:0	-3.6945	 0.971	 1.769	-0.141	   0.5	50.803	 299.5	     0
2008-11-4 21:0	-4.0305	 0.803	 2.505	-0.205	   0.5	50.807	 298.9	     0
2008-11-4 22:0	-3.995	  0.83	 2.217	-0.441	   0.5	 50.81	 298.4	     0
2008-11-4 23:0	-5.2855	 0.956	 1.529	-0.449	   0.5	50.814	 294.2	     0
2008-11-5 0:0	-6.844	 0.943	 2.308	-0.161	1.2917	50.817	 282.9	     0
2008-11-5 1:0	-7.815	 0.939	  1.63	-0.127	1.2917	50.821	 275.9	     0
2008-11-5 2:0	-8.885	 0.921	 1.685	-0.264	1.2917	50.825	 274.4	     0
2008-11-5 3:0	 -9.62	 0.936	 0.979	-0.277	1.2917	50.828	 269.8	     0
2008-11-5 4:0	-10.12	 0.916	 0.948	-0.311	1.2917	50.832	 272.1	     0
2008-11-5 5:0	-10.62	 0.912	 0.941	-0.398	1.2917	50.835	 270.1	     0
2008-11-5 6:0	-11.21	 0.922	 0.377	 -0.51	1.2917	50.839	   267	     0
2008-11-5 7:0	-11.68	 0.919	 0.393	 2.307	1.2917	51.595	 265.1	2.4704
2008-11-5 8:0	-11.625	 0.921	 0.925	 43.76	1.2917	52.351	 265.3	12.937
2008-11-5 9:0	-11.575	 0.923	 1.452	 131.1	1.2917	53.106	 266.6	22.194
2008-11-5 10:0	-10.985	 0.919	 1.134	   257	1.2917	53.862	 268.7	29.618
2008-11-5 11:0	-10.08	 0.909	 1.083	 392.5	1.2917	54.618	 274.8	34.426
2008-11-5 12:0	-10.89	 0.919	 1.376	 359.8	1.2917	55.374	 274.1	35.893
2008-11-5 13:0	-10.45	 0.912	 1.558	 535.9	1.2917	 56.13	   273	33.751
2008-11-5 14:0	-11.645	 0.918	 1.406	 271.5	1.2917	56.886	 268.4	28.383
2008-11-5 15:0	-12.015	 0.921	 1.429	 138.7	1.2917	57.642	   265	20.553
2008-11-5 16:0	-11.74	 0.919	  1.03	  99.6	1.2917	58.398	 265.9	11.023
2008-11-5 17:0	-12.13	 0.918	 1.258	 30.33	1.2917	59.153	 264.2	0.37797
2008-11-5 18:0	-12.33	 0.916	 1.084	 1.088	1.2917	59.909	 262.8	     0
2008-11-5 19:0	-12.545	 0.913	 1.102	-0.223	1.2917	60.665	 261.9	     0
2008-11-5 20:0	-12.68	 0.915	  1.12	 -0.06	1.2917	61.421	 261.2	     0
2008-11-5 21:0	-12.965	  0.91	 0.556	-0.341	1.2917	62.177	 260.3	     0
2008-11-5 22:0	-13.235	 0.911	 0.801	-0.076	1.2917	62.933	   259	     0
2008-11-5 23:0	-13.385	  0.91	 0.596	-0.701	1.2917	63.689	 258.3	     0
2008-11-6 0:0	-13.905	 0.906	 0.446	-0.887	0.041667	64.444	 255.7	     0
2008-11-6 1:0	-14.09	 0.904	 0.491	 -1.01	0.041667	  65.2	 254.7	     0
2008-11-6 2:0	-15.15	 0.892	 0.658	-2.545	0.041667	65.956	 252.2	     0
2008-11-6 3:0	-16.525	 0.896	 0.579	-3.128	0.041667	66.712	   247	     0
2008-11-6 4:0	-17.14	 0.887	 0.479	-3.042	0.041667	67.468	 243.1	     0
2008-11-6 5:0	-16.935	 0.886	  0.42	-2.757	0.041667	68.224	 242.5	     0
2008-11-6 6:0	-17.86	 0.871	 0.222	-2.757	0.041667	 68.98	 240.2	     0
2008-11-6 7:0	-17.685	 0.883	 0.543	  3.39	0.041667	68.793	 238.4	 2.268
2008-11-6 8:0	-17.23	 0.888	  0.56	 146.8	0.041667	68.606	 242.6	12.715
2008-11-6 9:0	-13.75	 0.819	 1.151	 364.3	0.041667	68.419	 262.8	21.948
2008-11-6 10:0	 -11.3	 0.781	  1.62	 545.6	0.041667	68.233	 280.2	29.347
2008-11-6 11:0	-10.085	 0.837	  1.88	 676.5	0.041667	68.046	 285.2	34.136
2008-11-6 12:0	 -9.66	 0.701	 1.953	   741	0.041667	67.859	 287.4	35.599
2008-11-6 13:0	 -9.73	0.6461	  2.14	   722	0.041667	67.672	 285.5	33.471
2008-11-6 14:0	 -8.77	0.6431	 1.641	 647.1	0.041667	67.486	 289.5	 28.13
2008-11-6 15:0	-8.705	0.6608	 1.207	 386.9	0.041667	67.299	 288.7	20.329
2008-11-6 16:0	-11.54	0.6711	  0.99	 131.9	0.041667	67.112	 272.2	10.825
2008-11-6 17:0	-13.735	0.6838	  0.82	 17.92	0.041667	66.925	 258.1	0.20073
2008-11-6 18:0	-15.49	 0.788	 0.731	-2.183	0.041667	66.739	 251.3	     0
2008-11-6 19:0	-16.94	 0.811	 0.616	-3.382	0.041667	66.552	 243.9	     0
2008-11-6 20:0	-16.65	 0.801	 0.846	-3.001	0.041667	66.365	   242	     0
2008-11-6 21:0	-15.995	 0.837	 0.792	-2.855	0.041667	66.178	 247.2	     0
2008-11-6 22:0	-17.355	 0.849	 0.373	-2.809	0.041667	65.992	 241.9	     0
2008-11-6 23:0	-16.045	 0.768	  0.92	-2.806	0.041667	65.805	 243.9	     0
2008-11-7 0:0	-16.175	 0.815	  1.07	-2.959	     0	65.618	 247.6	     0
2008-11-7 1:0	-15.505	0.6477	 0.697	-3.307	     0	65.431	 244.5	     0
2008-11-7 2:0	-14.515	0.6958	 0.913	-3.291	     0	65.245	 249.8	     0
2008-11-7 3:0	-13.57	0.6406	 0.975	 -3.25	     0	65.058	 255.9	     0
2008-11-7 4:0	-11.15	0.3656	 1.163	-2.985	     0	64.871	 265.1	     0
2008-11-7 5:0	-10.94	0.3225	  1.43	-2.758	     0	64.684	 267.5	     0
2008-11-7 6:0	-12.775	  0.78	 0.847	-2.739	     0	64.498	 262.2	     0
2008-11-7 7:0	-13.78	 0.702	 1.134	 2.344	     0	64.686	 253.9	2.0661
2008-11-7 8:0	-12.05	0.5177	 1.002	 139.2	     0	64.874	 260.1	12.494
2008-11-7 9:0	-8.0795	0.3433	 1.314	 346.8	     0	65.062	 282.8	21.703
2008-11-7 10:0	-4.1055	0.2634	 1.244	 520.6	     0	65.251	 300.8	29.078
2008-11-7 11:0	-3.065	0.3133	 1.656	 641.1	     0	65.439	 314.1	 33.85
2008-11-7 12:0	-1.9735	0.3626	 1.353	   700	     0	65.627	 314.8	 35.31
2008-11-7 13:0	 -1.91	0.4086	 1.307	 683.3	     0	65.815	 316.5	33.197
2008-11-7 14:0	-1.5245	0.3911	 1.442	 606.8	     0	66.004	   316	27.882
2008-11-7 15:0	-2.015	0.6405	 1.482	   360	     0	66.192	 313.3	 20.11
2008-11-7 16:0	-4.365	 0.876	 1.181	 121.7	     0	 66.38	 297.8	10.632
2008-11-7 17:0	 -5.68	 0.953	 1.307	 19.79	     0	66.568	 290.8	0.029011
2008-11-7 18:0	-5.235	 0.961	 0.782	 0.031	     0	66.757	 291.8	     0
2008-11-7 19:0	-5.166	 0.952	 0.541	-2.341	     0	66.945	   292	     0
2008-11-7 20:0	-5.418	  0.93	 0.435	-3.281	     0	67.133	 291.2	     0
2008-11-7 21:0	-6.103	 0.934	 0.581	 -3.24	     0	67.321	 286.9	     0
2008-11-7 22:0	-5.7485	 0.939	 0.591	-2.269	     0	 67.51	 287.4	     0
2008-11-7 23:0	-7.108	 0.943	 0.307	-4.552	     0	67.698	 283.3	     0
2008-11-8 0:0	 -8.85	 0.953	 0.154	-3.983	     0	67.886	 274.6	     0
2008-11-8 1:0	-8.705	 0.962	 0.385	-3.623	     0	68.074	 272.9	     0
2008-11-8 2:0	-8.975	 0.959	 0.247	-3.463	     0	68.263	 272.2	     0
2008-11-8 3:0	-7.729	 0.948	 0.563	-4.825	     0	68.451	 279.2	     0
2008-11-8 4:0	-6.824	 0.938	 0.705	-2.337	     0	68.639	 285.7	     0
2008-11-8 5:0	 -8.24	 0.951	  0.77	-3.453	     0	68.827	 280.1	     0
2008-11-8 6:0	-9.435	 0.939	 0.231	-3.619	     0	69.016	 271.9	     0
2008-11-8 7:0	 -9.45	  0.95	 0.601	  1.73	     0	69.145	 272.9	1.8647
2008-11-8 8:0	 -8.05	 0.903	 0.447	 129.5	     0	69.274	 277.7	12.273
2008-11-8 9:0	-5.734	  0.86	 0.802	 332.6	     0	69.403	   289	 21.46
2008-11-8 10:0	-1.763	0.6567	 0.488	 500.8	     0	69.532	 308.5	28.813
2008-11-8 11:0	4.2905	0.3978	 0.467	 622.4	     0	69.662	 304.8	33.568
2008-11-8 12:0	 5.282	0.4899	 1.384	   683	     0	69.791	 208.6	35.026
2008-11-8 13:0	3.5915	0.5749	 1.767	 671.5	     0	 69.92	 203.8	32.928
2008-11-8 14:0	3.5255	0.5268	  1.48	 600.6	     0	70.049	   204	27.639
2008-11-8 15:0	 2.796	 0.705	 1.644	   356	     0	70.178	 202.5	19.897
2008-11-8 16:0	0.0325	 0.824	 1.638	 115.7	     0	70.308	 201.1	10.445
2008-11-8 17:0	-2.3865	  0.86	 0.648	 14.74	     0	70.437	 199.5	     0
2008-11-8 18:0	-4.0845	 0.884	 0.834	-2.457	     0	70.566	 197.9	     0
2008-11-8 19:0	-5.237	 0.885	 0.677	-3.519	     0	70.695	 199.3	     0
2008-11-8 20:0	-5.9195	 0.876	 0.619	-2.853	     0	70.824	 204.1	     0
2008-11-8 21:0	-6.3195	 0.854	 0.683	-2.744	     0	70.954	 195.2	     0
2008-11-8 22:0	-6.516	 0.849	 0.978	-3.037	     0	71.083	   194	     0
2008-11-8 23:0	-6.868	 0.852	 0.953	-3.354	     0	71.212	 190.8	     0
2008-11-9 0:0	-6.9175	 0.863	 1.075	-2.929	     0	71.341	 190.4	     0
2008-11-9 1:0	-7.034	 0.905	 0.967	-3.979	     0	 71.47	 189.6	     0
2008-11-9 2:0	-7.113	 0.883	 0.982	-3.992	     0	  71.6	 188.4	     0
2008-11-9 3:0	-6.223	 0.806	 1.177	-3.728	     0	71.729	   189	     0
2008-11-9 4:0	 -7.05	 0.909	  1.05	-3.856	     0	71.858	 188.1	     0
2008-11-9 5:0	-7.635	   0.9	 1.118	-3.285	     0	71.987	 203.7	     0
2008-11-9 6:0	-6.744	 0.858	 0.794	-2.286	     0	72.116	 238.6	     0
2008-11-9 7:0	-6.325	 0.848	 0.673	  0.49	     0	72.296	 212.8	1.6639
2008-11-9 8:0	-5.168	 0.823	 1.086	  68.8	     0	72.475	 222.3	12.054
2008-11-9 9:0	-2.9225	0.6467	 1.102	 181.7	     0	72.654	 242.2	21.219
2008-11-9 10:0	 0.918	0.6025	 0.905	   407	     0	72.833	 226.8	 28.55
2008-11-9 11:0	 1.606	0.5143	 0.933	 506.2	     0	73.013	 228.9	33.289
2008-11-9 12:0	2.4975	0.4757	 1.091	 429.6	     0	73.192	 262.3	34.746
2008-11-9 13:0	  1.79	0.5464	 1.103	 289.5	     0	73.371	   273	32.664
2008-11-9 14:0	1.9925	0.4998	 1.139	 413.7	     0	 73.55	 239.9	27.402
2008-11-9 15:0	1.2505	0.4911	 1.247	   282	     0	73.729	 258.7	 19.69
2008-11-9 16:0	-0.6245	0.4538	 1.203	   136	     0	73.909	 267.3	10.264
2008-11-9 17:0	-2.3495	0.6134	 1.097	  48.6	     0	74.088	   265	     0
2008-11-9 18:0	-3.7515	 0.725	 0.879	-0.448	     0	74.267	 262.6	     0
2008-11-9 19:0	-4.5335	0.6882	 0.999	-1.984	     0	74.446	 235.1	     0
2008-11-9 20:0	-5.0815	0.6994	 1.269	-2.126	     0	74.626	 221.1	     0
2008-11-9 21:0	-6.134	 0.786	  0.75	-3.074	     0	74.805	   201	     0
2008-11-9 22:0	-7.374	 0.829	 1.033	 -3.44	     0	74.984	 194.9	     0
2008-11-9 23:0	-7.065	 0.877	 1.138	-3.166	     0	75.163	 190.9	     0
2008-11-10 0:0	 -7.92	 0.853	 1.033	-3.451	0.20833	75.343	 185.5	     0
2008-11-10 1:0	-8.455	 0.849	 1.222	-3.205	0.20833	75.522	 191.7	     0
2008-11-10 2:0	-8.605	 0.807	 0.989	-3.422	0.20833	75.701	 200.6	     0
2008-11-10 3:0	-7.662	 0.841	 0.474	-1.401	0.20833	 75.88	   252	     0
2008-11-10 4:0	-8.235	  0.85	 0.342	-2.653	0.20833	76.059	 218.3	     0
2008-11-10 5:0	 -8.84	 0.871	 0.354	-1.637	0.20833	76.239	 238.6	     0
2008-11-10 6:0	-7.835	 0.813	 0.352	-1.863	0.20833	76.418	   247	     0
2008-11-10 7:0	-7.382	 0.815	  0.38	 0.894	0.20833	76.597	 234.6	1.4638
2008-11-10 8:0	-6.711	 0.725	 0.451	 119.6	0.20833	76.776	   208	11.836
2008-11-10 9:0	-3.488	0.5659	 0.677	 277.5	0.20833	76.956	 224.7	 20.98
2008-11-10 10:0	-2.9775	  0.75	 1.712	 367.1	0.20833	77.135	 253.1	 28.29
2008-11-10 11:0	-2.771	0.6277	  1.21	 352.1	0.20833	77.314	 253.5	33.015
2008-11-10 12:0	-2.4235	 0.737	 1.437	 344.8	0.20833	77.493	 274.6	34.472
2008-11-10 13:0	-3.986	  0.92	 1.596	 428.8	0.20833	77.673	 284.4	32.406
2008-11-10 14:0	 -4.89	 0.938	 1.191	 287.4	0.20833	77.852	 286.5	27.171
2008-11-10 15:0	-4.3665	 0.887	 1.049	   287	0.20833	78.031	 294.1	19.488
2008-11-10 16:0	-4.4335	 0.857	 1.308	 124.9	0.20833	 78.21	 298.4	10.088
2008-11-10 17:0	-5.4045	 0.857	 1.553	 29.15	0.20833	 78.39	 292.1	     0
2008-11-10 18:0	-5.972	 0.875	 1.001	 0.425	0.20833	78.569	 287.8	     0
2008-11-10 19:0	-6.018	 0.922	 0.541	     0	0.20833	78.748	 287.8	     0
2008-11-10 20:0	-6.387	 0.949	 0.478	-0.003	0.20833	78.927	 287.1	     0
2008-11-10 21:0	-6.252	 0.887	 1.528	-0.037	0.20833	79.106	 287.5	     0
2008-11-10 22:0	-6.387	 0.907	 1.847	-0.241	0.20833	79.286	 287.8	     0
2008-11-10 23:0	-6.5375	 0.925	 1.244	-0.059	0.20833	79.465	 286.9	     0
2008-11-11 0:0	-6.403	 0.905	 1.087	     0	0.41667	79.644	 287.1	     0
2008-11-11 1:0	-6.5695	 0.939	 0.718	     0	0.41667	79.823	 286.6	     0
2008-11-11 2:0	-6.886	 0.951	 0.664	     0	0.41667	80.003	 285.2	     0
2008-11-11 3:0	-6.4985	 0.914	 1.279	     0	0.41667	80.182	 286.8	     0
2008-11-11 4:0	-6.401	 0.938	 1.184	-0.002	0.41667	80.361	 287.5	     0
2008-11-11 5:0	-6.754	 0.958	 0.667	     0	0.41667	 80.54	 286.2	     0
2008-11-11 6:0	-6.634	 0.962	 0.432	     0	0.41667	 80.72	 285.7	     0
2008-11-11 7:0	-6.4825	 0.954	 0.774	 1.365	0.41667	80.899	 286.2	1.2645
2008-11-11 8:0	-6.299	 0.966	 0.683	 27.66	0.41667	81.078	 287.4	11.619
2008-11-11 9:0	-5.965	  0.95	 0.871	 111.2	0.41667	81.257	   290	20.743
2008-11-11 10:0	-6.051	 0.939	  1.59	 245.7	0.41667	81.436	 290.4	28.033
2008-11-11 11:0	-5.3285	 0.931	 1.295	 308.6	0.41667	81.616	 295.2	32.745
2008-11-11 12:0	-4.359	  0.91	 1.211	 405.9	0.41667	81.795	 302.7	34.203
2008-11-11 13:0	-4.1775	 0.856	 1.224	   317	0.41667	81.974	 303.5	32.154
2008-11-11 14:0	-3.644	 0.756	  0.81	 277.1	0.41667	82.153	 306.2	26.946
2008-11-11 15:0	-3.3945	 0.879	 0.832	 208.8	0.41667	82.333	 308.7	19.292
2008-11-11 16:0	-5.611	 0.903	  1.11	 106.4	0.41667	82.512	 296.2	9.9182
2008-11-11 17:0	-5.6905	 0.919	  0.47	  36.4	0.41667	82.691	 291.8	     0
2008-11-11 18:0	-6.5595	 0.939	 0.161	 0.029	0.41667	 82.87	 286.8	     0
2008-11-11 19:0	-6.706	 0.936	 0.178	-0.009	0.41667	 83.05	   285	     0
2008-11-11 20:0	-7.377	  0.91	 0.605	-1.009	0.41667	83.229	 284.5	     0
2008-11-11 21:0	 -8.65	  0.93	 0.581	-1.257	0.41667	83.408	 278.5	     0
2008-11-11 22:0	 -8.63	 0.915	 0.666	-0.899	0.41667	83.587	 276.3	     0
2008-11-11 23:0	 -9.16	 0.908	 0.752	-1.985	0.41667	83.767	 274.8	     0
2008-11-12 0:0	-9.425	 0.887	 0.874	-1.019	     0	83.946	 273.8	     0
2008-11-12 1:0	-8.2685	  0.81	 1.455	-0.351	     0	84.125	 279.2	     0
2008-11-12 2:0	-7.2605	 0.784	 1.141	-0.328	     0	84.304	 282.7	     0
2008-11-12 3:0	 -7.45	 0.833	 1.015	-0.266	     0	84.483	 282.1	     0
2008-11-12 4:0	-8.275	 0.905	 0.636	 -0.11	     0	84.663	 279.5	     0
2008-11-12 5:0	-8.825	 0.862	 0.565	-0.458	     0	84.842	 275.8	     0
2008-11-12 6:0	-8.355	 0.914	 0.432	-0.207	     0	85.021	 276.8	     0
2008-11-12 7:0	-9.025	 0.916	 0.575	 1.442	     0	84.726	 275.2	 1.066
2008-11-12 8:0	 -8.39	 0.859	  0.82	  94.1	     0	 84.43	   277	11.404
2008-11-12 9:0	-5.6505	0.6688	  1.02	 312.4	     0	84.135	 290.6	20.508
2008-11-12 10:0	-2.5575	0.5915	 1.405	 475.4	     0	83.839	 313.9	27.779
2008-11-12 11:0	-1.2675	0.6299	 1.414	   753	     0	83.544	   317	32.479
2008-11-12 12:0	-0.7375	0.5415	 1.409	   792	     0	83.248	   317	33.939
2008-11-12 13:0	0.2995	0.5744	 1.584	 647.7	     0	82.953	 318.8	31.907
2008-11-12 14:0	-0.339	 0.672	  1.64	 448.4	     0	82.657	 310.4	26.727
2008-11-12 15:0	-1.193	 0.749	 1.414	 277.6	     0	82.362	 311.5	19.102
2008-11-12 16:0	-2.683	 0.806	 1.194	 110.4	     0	82.066	 303.6	9.7542
2008-11-12 17:0	-3.6005	 0.847	 1.547	  29.1	     0	81.771	 298.5	     0
2008-11-12 18:0	-3.376	 0.907	 1.393	-0.165	     0	81.475	 299.2	     0
2008-11-12 19:0	-3.6605	 0.948	 1.221	-0.472	     0	 81.18	 298.7	     0
2008-11-12 20:0	-3.9955	  0.98	 1.265	-0.627	     0	80.884	 297.7	     0
2008-11-12 21:0	-3.4885	 0.943	  1.03	-0.855	     0	80.589	 298.6	     0
2008-11-12 22:0	-3.4545	 0.951	 0.918	-2.452	     0	80.293	 298.8	     0
2008-11-12 23:0	-3.6885	  0.94	 0.608	-1.912	     0	79.998	 296.3	     0
2008-11-13 0:0	-3.5035	  0.95	 0.751	-2.089	0.041667	79.702	 296.4	     0
2008-11-13 1:0	-4.2595	 0.948	 0.931	-2.232	0.041667	79.407	 294.7	     0
2008-11-13 2:0	 -3.94	 0.934	 0.915	 -2.28	0.041667	79.111	 295.5	     0
2008-11-13 3:0	-4.1575	 0.951	 0.854	-2.356	0.041667	78.816	 295.6	     0
2008-11-13 4:0	-4.877	  0.97	 0.454	-2.474	0.041667	78.521	 290.3	     0
2008-11-13 5:0	 -4.27	 0.959	 0.519	-2.645	0.041667	78.225	 290.8	     0
2008-11-13 6:0	-3.9845	 0.789	 0.681	-2.513	0.041667	 77.93	 290.8	     0
2008-11-13 7:0	 -3.38	 0.942	 0.974	-0.567	0.041667	77.834	 295.7	0.86851
2008-11-13 8:0	-4.4545	 0.941	  0.92	   104	0.041667	77.738	 293.4	 11.19
2008-11-13 9:0	-0.3255	0.5418	 0.733	 302.9	0.041667	77.642	 309.1	20.275
2008-11-13 10:0	 6.127	0.5401	 1.035	 482.3	0.041667	77.547	 229.3	27.528
2008-11-13 11:0	3.2435	 0.553	 2.013	 603.3	0.041667	77.451	 214.4	32.218
2008-11-13 12:0	 4.828	0.5861	     3	 662.1	0.041667	77.355	 219.1	 33.68
2008-11-13 13:0	 5.616	0.4765	  2.57	 649.5	0.041667	 77.26	 220.2	31.666
2008-11-13 14:0	6.8105	0.5036	 1.713	 575.6	0.041667	77.164	 222.6	26.513
2008-11-13 15:0	5.4785	0.6035	 1.441	 332.2	0.041667	77.068	 225.3	18.918
2008-11-13 16:0	2.7605	0.6439	 1.441	 128.3	0.041667	76.973	 229.4	9.5961
2008-11-13 17:0	 1.361	0.6991	 1.312	 29.64	0.041667	76.877	 222.1	     0
2008-11-13 18:0	0.0625	 0.742	 1.291	-1.323	0.041667	76.781	 229.8	     0
2008-11-13 19:0	0.0035	  0.76	 1.418	-0.798	0.041667	76.685	 267.7	     0
2008-11-13 20:0	-0.215	 0.776	  1.98	-0.304	0.041667	 76.59	 298.5	     0
2008-11-13 21:0	-0.601	 0.787	 1.618	-0.307	0.041667	76.494	 297.3	     0
2008-11-13 22:0	-1.0355	 0.803	 1.564	-0.302	0.041667	76.398	 277.2	     0
2008-11-13 23:0	-1.098	0.6844	  1.56	-0.533	0.041667	76.303	 255.9	     0
2008-11-14 0:0	-1.2995	 0.743	 1.429	-0.946	     0	76.207	 237.8	     0
2008-11-14 1:0	-1.918	 0.793	 1.296	-0.232	     0	76.111	 269.5	     0
2008-11-14 2:0	-2.8895	 0.739	 1.143	-0.642	     0	76.015	 217.3	     0
2008-11-14 3:0	-3.188	0.5432	 1.168	-2.852	     0	 75.92	 186.6	     0
2008-11-14 4:0	-4.4085	0.6894	 1.016	-2.771	     0	75.824	 182.6	     0
2008-11-14 5:0	-5.3455	0.6324	 0.991	-2.763	     0	75.728	 179.8	     0
2008-11-14 6:0	-6.514	0.6999	 0.942	-2.875	     0	75.633	 179.7	     0
2008-11-14 7:0	-6.513	 0.754	 1.039	-1.474	     0	75.439	 178.3	0.67204
2008-11-14 8:0	-7.4175	0.5727	 0.688	   117	     0	75.246	   172	10.977
2008-11-14 9:0	-5.048	0.4432	 1.074	   318	     0	75.052	 169.8	20.045
2008-11-14 10:0	-2.8295	0.3909	 1.632	   494	     0	74.859	 170.5	27.281
2008-11-14 11:0	-2.104	 0.415	 1.632	 617.8	     0	74.665	 172.3	31.961
2008-11-14 12:0	-1.558	0.4005	 1.673	 680.7	     0	74.472	   174	33.427
2008-11-14 13:0	-1.106	0.3932	   2.4	 671.3	     0	74.278	 173.6	31.431
2008-11-14 14:0	-0.9035	0.2961	 1.688	   596	     0	74.085	 171.7	26.306
2008-11-14 15:0	 -2.23	0.3421	 2.082	 347.7	     0	73.891	 169.2	18.739
2008-11-14 16:0	-4.543	0.4829	 1.687	 100.1	     0	73.698	 167.5	 9.444
2008-11-14 17:0	-6.4305	0.5735	  1.33	 14.87	     0	73.504	 168.1	     0
2008-11-14 18:0	 -7.61	0.6361	 1.384	-2.317	     0	73.311	 166.7	     0
2008-11-14 19:0	-8.275	0.6459	 1.458	-2.697	     0	73.117	 164.7	     0
2008-11-14 20:0	 -9.08	0.6773	 0.989	-2.872	     0	72.924	 164.2	     0
2008-11-14 21:0	-8.785	0.5436	 0.997	-3.043	     0	72.731	 164.3	     0
2008-11-14 22:0	  -8.6	0.4719	 1.128	-2.893	     0	72.537	   166	     0
2008-11-14 23:0	 -8.72	0.3943	 0.928	-2.953	     0	72.344	 168.8	     0
2008-11-15 0:0	-9.355	0.4105	  0.91	-2.861	     0	 72.15	 171.3	     0
2008-11-15 1:0	  -8.7	0.4232	 0.924	-2.654	     0	71.957	 175.7	     0
2008-11-15 2:0	  -8.5	0.3977	 0.946	-2.645	     0	71.763	 175.5	     0
2008-11-15 3:0	 -8.42	0.3644	 0.916	-2.394	     0	 71.57	 175.2	     0
2008-11-15 4:0	-9.125	0.3153	 0.875	-2.499	     0	71.376	 176.9	     0
2008-11-15 5:0	-8.115	0.3052	  1.05	-2.748	     0	71.183	   177	     0
2008-11-15 6:0	  -7.8	0.3341	 1.292	-2.911	     0	70.989	 176.8	     0
2008-11-15 7:0	 -8.79	0.4272	 0.665	-1.248	     0	71.203	 180.3	0.4767
2008-11-15 8:0	-8.049	0.5116	 0.787	   102	     0	71.416	 184.4	10.767
2008-11-15 9:0	-2.4605	 0.296	 0.699	 303.4	     0	 71.63	 190.7	19.817
2008-11-15 10:0	1.8745	0.3321	 1.606	 477.5	     0	71.843	 194.3	27.038
2008-11-15 11:0	2.4995	0.3148	 1.869	 599.8	     0	72.057	 196.4	31.709
2008-11-15 12:0	3.1285	0.3198	 2.061	 661.7	     0	 72.27	 196.5	33.179
2008-11-15 13:0	 3.943	0.3094	 1.884	 653.9	     0	72.484	 194.9	31.202
2008-11-15 14:0	4.4135	0.3235	 1.259	 580.4	     0	72.698	 193.4	26.105
2008-11-15 15:0	3.9035	0.3466	 1.077	 343.7	     0	72.911	 191.8	18.567
2008-11-15 16:0	 0.418	0.5679	 0.872	  97.3	     0	73.125	 190.2	9.2979
2008-11-15 17:0	-2.7555	0.5947	 0.725	 12.24	     0	73.338	 188.1	     0
2008-11-15 18:0	-3.867	0.6197	 0.604	 -3.52	     0	73.552	 186.8	     0
2008-11-15 19:0	-4.443	0.5936	 0.593	-4.466	     0	73.765	 186.5	     0
2008-11-15 20:0	-4.5895	 0.596	 0.806	-4.115	     0	73.979	   188	     0
2008-11-15 21:0	-4.333	0.6364	 0.885	-3.781	     0	74.192	 188.8	     0
2008-11-15 22:0	-4.1975	 0.622	 0.831	-3.855	     0	74.406	   190	     0
2008-11-15 23:0	-4.2145	0.5995	 0.747	-3.989	     0	74.619	 190.8	     0
2008-11-16 0:0	-3.863	 0.597	 1.247	-3.695	     0	74.833	 192.1	     0
2008-11-16 1:0	-3.766	0.6024	 1.275	-3.933	     0	75.047	 192.3	     0
2008-11-16 2:0	-2.9935	0.6518	 0.896	-3.179	     0	 75.26	 192.8	     0
2008-11-16 3:0	-4.337	0.6555	 1.005	-3.142	     0	75.474	 193.8	     0
2008-11-16 4:0	-4.201	0.6132	 0.659	-3.149	     0	75.687	   195	     0
2008-11-16 5:0	-3.7975	 0.751	 0.494	-3.335	     0	75.901	 197.6	     0
2008-11-16 6:0	-5.089	 0.721	 0.606	-3.122	     0	76.114	 198.7	     0
2008-11-16 7:0	-4.0455	0.6613	  0.88	-1.404	     0	76.225	 198.9	0.28259
2008-11-16 8:0	-3.9645	 0.712	 1.042	  95.7	     0	76.337	 196.2	10.558
2008-11-16 9:0	  0.16	0.3161	 0.297	 294.3	     0	76.448	   196	19.592
2008-11-16 10:0	 6.067	0.2534	 0.639	 469.3	     0	76.559	 195.3	26.798
2008-11-16 11:0	 6.151	0.2412	 1.334	 591.2	     0	76.671	 197.1	31.461
2008-11-16 12:0	 6.514	0.2409	 2.034	 650.2	     0	76.782	   202	32.937
2008-11-16 13:0	 7.136	0.2453	 2.058	 639.9	     0	76.893	 205.6	 30.98
2008-11-16 14:0	7.6735	0.3009	 1.665	 561.9	     0	77.004	 209.9	 25.91
2008-11-16 15:0	7.1445	0.3757	 1.265	 330.5	     0	77.116	 211.9	18.402
2008-11-16 16:0	3.7085	0.4439	 1.038	  94.9	     0	77.227	 211.3	 9.158
2008-11-16 17:0	 1.075	0.6565	 0.439	 23.01	     0	77.338	 215.2	     0
2008-11-16 18:0	-1.764	 0.698	 0.755	-2.085	     0	77.449	 215.1	     0
